Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
Which of the following statements best describes the difference between a traditional supply chain and a supply chain network (SCN):,A supply chain network uses advanced technology to enhance information sharing.,"A traditional supply chain is typically managed by the retail business, not the manufacturer.",A traditional supply chain involves a higher level of interdependence among businesses.,A supply chain network includes many more businesses to allow for global distribution.,A,"A supply chain network uses advanced technology to enhance information sharing. As technology continues to advance, significant changes have been made to the traditional supply chain model. These technological advancements allow for enhanced information sharing and real-time decision-making by supply chain managers within advanced supply chain networks (SCN). There is not any need for additional businesses to be involved in a SCN, except for the possibility of a third-party IT support company. However, the purpose of this third-party IT support company is not to allow for global distribution. SCNs involve a higher level of interdependence among supply chain members than do traditional supply chains. This higher level of interconnectivity has not impacted whether a retailer or manufacturer is in charge of managing a supply chain. 2024, from https://www.managementstudyguide.com/supply-chain-network.htm",Operations,1,hard
A workload analysis assesses,current and future human resources needs.,the human resources that are available.,how many hours each job task takes to complete.,the number of staffing tasks each manager completes.,A,"Current and future human resources needs. A workload analysis assesses an organization's human resources needs, both present and future. A workforce analysis assesses the human resources that are available to meet these needs. A workload analysis does not necessarily assess the number of hours each job task takes to complete or the number of staffing tasks each manager completes.",Strategic Management,1,easy
What attitude would be most likely to support long-term relationships between businesses and their suppliers?,Collaborative,Influential,Creative,Reflective,A,"Collaborative. A collaborative attitude involves a willingness to work together to achieve mutually beneficial goals. Collaboration requires honest, objective, and ongoing communication. When businesses are willing to work together, they are more likely to build positive long-term relationships. Creative, influential, and reflective (thoughtful) attitudes are helpful and can enhance collaboration, but having a collaborative attitude is the key to fostering successful, long-term relationships with vendors. approach (5th ed.) [Lesson 3.3]. Boston, MA: Cengage Learning, Inc.",Operations,1,medium
"If a country with a developing economy participates in free trade, it can expect to encounter",better relationships with other countries.,job loss.,fewer resources.,limited access to new markets.,A,"Better relationships with other countries. Engaging in free trade often leads to better relationships with other countries. Relationships with powerful countries can help protect economically developing countries from international threats. Free trade leads to more resources, new markets, and more job creation. 15, 2024, from http://smallbusiness.chron.com/benefits-trade-developing-countries-3834.html",Economics,1,medium
Which of the following business analysis techniques focuses on how to approach and achieve an organization's goals:,M.O.S.T.,Six Thinking Hats,S.W.O.T.,P.E.S.T.L.E.,A,"M.O.S.T. The business analysis technique M.O.S.T. stands for Mission, Objectives, Strategies, and Tactics. It helps business analysts better understand what an organization hopes to accomplish and any issues connected to these goals. P.E.S.T.L.E. (Political, Economic, Sociological, Technological, Legal, and Environmental) is a technique that analyzes factors affecting the company. The S.W.O.T. technique (Strengths, Weaknesses, Opportunities, and Threats) focuses on a company's strengths and weaknesses. The Six Thinking Hats technique encourages companies to consider different perspectives. August 15, 2024, from https://www.guru99.com/business-analysis-process-techniques.html Test 1304 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Operations,1,medium
Entrepreneurs protect the profitability of their businesses by developing which of the following skills:,Passive and technical,Language and operations,Domestic and team-building,Financial and problem-solving,D,"Financial and problem-solving. Entrepreneurs need to understand financial or money concepts and how the concepts relate to their businesses. This understanding helps business owners maintain and control business operations and other expenses. Control over expenses can increase the company's profitability. Problemsolving skills can help an entrepreneur protect company profitability by finding new ways or solutions to overcome obstacles, which may affect revenue. Passive is defined as dormant or not active. Skills are learned and practiced and, therefore, cannot be passive. Operations is a business function rather than a skill. Possession of domestic skills (e.g., cooking) does not generally protect a company's profitability. Technical skills are specialized applications used to accomplish business objectives. Language skills refer to the degree a person can communicate with others in a verbal or written manner. Team building refers to the manner in which a person interacts in a group of people to accomplish a goal. Although entrepreneurs can use technical, language, and team-building skills to increase or maintain corporate profitability, they must possess a fiscally responsible mindset.",Professional Development,1,hard
An important aspect of managing the project team is,monitoring the work effort.,carrying out members' work tasks.,interpreting external data.,evaluating the stakeholders' interests.,A,"Monitoring the work effort. Project managers must monitor team members' performance to make sure that they carry out project activities correctly and on a timely basis. The stakeholders' interests and needs are primary considerations when determining if the organization has the resources to carry out the project, which occurs during the initiation phase of the project. The type of project determines if the manager or team members need to interpret external data, so this is not a primary project management activity. Effective project managers understand how the work flows but do not carry out the team members' work tasks. from https://www.apm.org.uk/resources/what-is-project-management",Project Management,1,easy
Knowledge management allows companies to,improve their technology.,spend less time on information management.,increase sales revenue.,better answer customer questions.,D,"Better answer customer questions. Gathering and managing knowledge from customers is one way that a business can create positive experiences for them. One reason why is because companies can use that knowledge to better answer customer questions. Knowledge management does not allow companies to spend less time on information management; both knowledge management and information management are important to companies. Knowledge management is not necessarily related to a company improving its technology. Finally, knowledge management might help a company boost its sales, but it will not necessarily increase sales revenue.",Knowledge Management,1,easy
What is a major difference between the critical path method and the critical chain method for project management?,The critical path method considers uncertainty more than the critical chain method.,The critical path method includes buffers; the critical chain method does not.,The critical chain method considers resource constraints; the critical path method does not.,The critical chain method accounts for total float; the critical path method does not.,C,"The critical chain method considers resource constraints; the critical path method does not. The critical path method is used to estimate the minimum project duration and determine the amount of scheduling flexibility. The critical chain method is similar, but allows the team to place buffers in the path to account for limited resources and project uncertainties. The critical path method does not include buffers, whereas the critical chain method does. The critical chain method considers these buffer durations instead of total float, which is the focus of the critical path method. Finally, the critical chain method accounts for uncertainty more than the critical path method. from https://www.apm.org.uk/resources/what-is-project-management Test 1304 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Project Management,1,medium
"Nonjudgmental, immediate, and nonthreatening are all characteristics of",internal feedback.,destructive criticism.,constructive criticism.,positive feedback.,C,"Constructive criticism. Constructive criticism is a type of negative feedback that points out mistakes or weaknesses for the purpose of helping a person improve a specific behavior. Constructive criticism is nonjudgmental, immediate, and nonthreatening. Positive feedback is praise or approval. Destructive criticism is a type of negative feedback that points out mistakes and includes a personal attack on the individual. Internal feedback is feedback that comes from within you.",Emotional Intelligence,1,medium
