Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
"Georgiana owns a restaurant, and recently, she has noticed that the staff throw away a lot of food at the end of each night. If Georgiana is able to cut back on the amount of food waste, she will likely experience",increased success.,a damaged reputation.,a larger workforce.,higher overhead costs.,A,"Increased success. When entrepreneurs use resources productively, they are able to cut costs, increase profits, and experience overall general success. If Georgiana can reduce the amount of food that is wasted, she will be using her resources more productively, thereby increasing her chances of success. Georgiana will not necessarily experience higher overhead costs, a damaged reputation, or a larger workforce; these are unrelated to cutting back on food waste. August 16, 2024, from https://www.uagrantham.edu/blog/a-guide-to-organizational-resources-andhow-to-manage-them/",Entrepreneurship,1,medium
At what stage of the entrepreneurial process does an entrepreneur determine the amount of capital needed to launch the business?,Harvesting,Actualization,Development,Discovery,C,"Development. An entrepreneur determines the amount of capital needed to launch a business during the development stage of the entrepreneurial process. The discovery stage involves exploring potential business opportunities for feasibility and profitability. Actualization, the actual launching and running of the business, cannot occur until capital has been obtained. Harvesting is the final step when the entrepreneur determines how to exit the business. https://businessjargons.com/entrepreneurial-process.html",Entrepreneurship,1,medium
Which of the following is a true statement about promotion:,"Promotional budgets should be at least $200,000.",Companies should utilize all types of media.,Successful promotional strategies should not be changed.,Promotion's ultimate goal is to increase sales.,D,"Promotion's ultimate goal is to increase sales. Effective promotion should persuade consumers to buy by convincing them that the product being offered for sale will satisfy their specific needs. Rather than using all types of media, the advertiser should select media which will deliver the sales message to its target market. Even successful promotional strategies should be monitored so that adjustments can be made when changes occur in the marketplace. The promotional budget will vary from company to company.",Promotion,1,easy
Kate is a consultant who specializes in helping companies discover and implement positive solutions to problems in their business processes. Kate's work could best be described as,business analysis.,marketing research.,public relations.,financial counseling.,A,"Business analysis. Business analysis is the process of introducing and overseeing change within organizations for the purpose of producing positive outcomes. Kate's work is an example of business analysis because she helps companies discover problems within their business processes and then helps them implement solutions to those problems. Her work is not public relations, marketing research, or financial counseling. https://www.villanovau.com/resources/business-analysis/what-is-business-analysis/",Operations,1,medium
Which of the following employee-selection tools gives employers a chance to evaluate job applicants' communication skills:,Personal interview,Physical examination,Reference check,Background screening,A,"Personal interview. An interview is the dialogue between the applicant and the interviewer, and it is the most widely used selection tool. It gives interviewers a chance to check applicants' communication skills, as well as the opportunity to answer applicants' questions. Background screenings, reference checks, and physical examinations are not useful in determining applicants' communication skills. August 16, 2024, from https://in.indeed.com/career-advice/interviewing/what-is-interview ENTREPRENEURSHIP EXAMâ€”KEY 2",Human Resources Management,1,medium
Which of the following questions should you ask to learn more about stakeholders' expectations for a project's long-term impact:,What are the specific deliverables for this project?,What worries you most about this project?,What problems will this project help to solve?,What obstacles will we face in completing this project?,C,"What problems will this project help to solve? Stakeholders are those people who will be affected by a project's outcome. In other words, stakeholders are the people for whom you are doing the project. To help ensure that project deliverables meet stakeholder expectations, it's imperative to determine the stakeholders' needs and wants early in the project. The easiest way to gather this information is usually to talk with stakeholders directly about their expectations. You should talk with them about their expectations for the long-term impact of the project, project completion, and the actual â€œdoingâ€ of the project. Questions to ask to ascertain stakeholders' expectations for a project's long-term impact include â€œWhat problems will this project help to solve?â€ â€œHow will this project help you to achieve your mission?â€ and â€œWhat are the consequences of not doing the project?â€ Questions to ask about project completion include â€œWhat are the specific deliverables for this project?â€ and â€œHow will you know that the project has been completed successfully?â€ To learn more about stakeholder expectations for actually carrying out the project, ask questions such as â€œWhat worries you most about this project?â€ and â€œWhat obstacles will we face in completing this project?â€ Retrieved August 16, 2024, from https://infoworks.com/21-questions-understanding-projectstakeholder-expectations/",Emotional Intelligence,1,medium
"Every month, a technology company has all-staff meetings in which employees team up and brainstorm new ideas together. Many of these ideas lead to innovative new products. This is an example of how __________ helps organizations innovate and change.",resilience,customer service,training,collaboration,D,"Collaboration. One of the ways that an organization can encourage change is through collaboration. Collaboration between multiple departments allows for more creativity, which in turn leads to more innovation and change. This example is not related to training, customer service, or resilience. 2024, from https://www.forbes.com/sites/forbescoachescouncil/2017/07/21/how-to-create-a-cultureof-innovation-and-learning/",Strategic Management,1,hard
"When a company has achieved a maximum level of efficiency, the long-run average total costs of production have been",ignored.,expanded.,minimized.,strengthened.,C,"Minimized. The average total cost shows how much it costs a company to produce its product(s) on average. Minimizing the average total cost means that the company is producing in the most efficient way possible and receiving the maximum possible profit. Expanding and strengthening are not generally accepted terms when speaking about average total cost or efficiency. Ignoring the long-run average total costs of production would be hazardous to the company and very likely lead to inefficiency, loss of profits, and possible closure. https://www.investopedia.com/terms/e/economiesofscale.asp",Economics,1,medium
A furniture manufacturer has been receiving complaints about the safety of its Model BA2X baby crib. What is the first thing the manufacturer should do?,Ship the customers another crib,Offer refunds to the customers,Make style improvements to the crib,Initiate a product recall,D,"Initiate a product recall. Quality management is the coordination of resources to ensure the degree of excellence of a process, good, or service. A product recall is the removal from the marketplace of a product that is defective or hazardous to consumers. Defective baby cribs can seriously injure or kill infants. Therefore, the manufacturer needs to immediately notify the public that the crib is hazardous, so owners know to stop using the crib. Notification is generally communicated to the public by letters, the media, signs in stores, on the company's website, etc. The manufacturer should cease production and stop shipping the crib until the problem has been fixed. Style refers to the product's appearance and is not a primary concern when dealing with a defective item. Offering refunds and shipping a fixed or different type of crib are secondary actions that the manufacturer can take after recalling the defective crib. recalls. Retrieved August 20, 2024, from https://www.harrisbeach.com/insights/do-you-recall-ablueprint-for-managing-product-recalls/ ENTREPRENEURSHIP EXAMâ€”KEY 3",Quality Management,1,medium
Evaluating risk is essential for any business that undertakes a new project or venture. Which of the following is the final step for a business when assessing risks:,Decide if the business can withstand a loss,Reduce or eliminate each identified risk,Estimate the likelihood of a loss occurring,Identify as many risks as possible,B,"Reduce or eliminate each identified risk. Evaluating business risk is the process of identifying the risks associated with a new business project before comparing each potential loss against the potential benefits. The final step when assessing business risk is to reduce or eliminate each identified risk. The first step is to identify as many risks as possible, followed by estimating the likelihood of a loss occurring. Then, a business will assign a dollar amount to the potential risk and calculate total loss. It will then determine if it can withstand the loss and if the risk is worth taking. Then, the business will reduce or eliminate each identified risk. 2024, from https://business.gov.au/risk-management/risk-assessment-and-planning/assess-andmanage-risk",Risk Management,1,medium
A local business adds a specific item to its product line each spring. This is an example of the product-mix strategy called,contraction.,animation.,trading-up.,expansion.,D,Expansion. The product-mix strategy of expansion involves adding products to the existing product line. Trading-up is adding products that are higher priced and are of higher quality. Contraction means eliminating a product from the product line. Animation is not a product-mix strategy.,Product Management,2,easy
"Anthony has worked as an IT professional at his company for three years. This year, he hopes to be moved to the social media department so that he can learn new skills and expand his professional network. After doing some research, he finds an employee within the department that he thinks he could learn a lot from. In return, he figures he can help the employee clean up their computer and teach them the new company software. He decides to contact the employee to set up a lunch meeting. In other words, Anthony is trying to initiate a",relational analysis.,strategic relationship.,private partnership.,mentorship program.,B,"Strategic relationship. A strategic relationship is a relationship that is formed because it is beneficial for all parties involved. In this example, Anthony has identified an individual who he thinks could help him learn about working in the social media department. In return, Anthony will provide the employee with technical assistance. This is an example of a strategic relationship, not a mentorship program, relational analysis, or private partnership. A mentorship program generally involves an older or more experienced person helping a younger or less experienced person learn about their field. The difference between a strategic relationship and mentoring, however, is that mentees generally have nothing to provide in return for the mentoring. Relational analysis and private partnership are not terms used to describe this type of relationship. Retrieved August 16, 2024, from https://simplystakeholders.com/build-strategic-relationships/",Emotional Intelligence,2,hard
A vending company buying products from several businesses and putting those products in vending machines for customers to purchase is an example of a(n),distribution channel.,independent agent.,service business.,product wholesaler.,A,"Distribution channel. Distribution channels are the paths, or routes, that goods or services take from the producer to the ultimate consumer or industrial user. A vending company buying products from several businesses and selling them through vending machines to final users is an example of a direct channel of distribution. The vending company is buying the products from manufacturers and selling them directly to customers. The vending company is actually a retailer, but it is not a service business because it sells a tangible product. Wholesalers are intermediaries who help to move goods between producers and retailers by buying goods from producers and selling them to retailers. Independent agents are intermediaries who assist in the sale or promotion of goods and services but do not take title to them. work? Retrieved August 20, 2024, from https://www.investopedia.com/terms/d/distributionchannel.asp ENTREPRENEURSHIP EXAMâ€”KEY 4",Channel Management,2,easy
"Juan recently expanded his business into another country to reach more of his target market. He was thrilled with his company's profits following the expansionâ€”until he converted the money back to his domestic currency. At that point, he realized that the company made much less than he originally thought. What risk involved with international business did Juan experience?",The cost of international unionized labor,Political unrest in foreign countries,Foreign exchange rate fluctuations,International trade agreement changes,C,"Foreign exchange rate fluctuations. Foreign exchange rate risk occurs when the value of an investment fluctuates due to changes in a currency's exchange rate. When a domestic currency appreciates against a foreign currency, profits earned in the foreign country will decrease after being exchanged back to the domestic currency. Juan's profits were greater in the foreign currency than in domestic currency because of fluctuations in the exchange rate between the two currencies. International trade agreements, political unrest, and the cost of international unionized labor are all factors that business owners should consider before engaging in international business, but Juan did not experience them in this situation. from https://www.investopedia.com/ask/answers/06/internationalfinancerisks.asp",Entrepreneurship,2,medium
