Question,A,B,C,D,Correct,Explanation,Finance,Assessment,Difficulty
"Sheree, who owns a popular family-style restaurant, recently asked her attorney to prepare a document to protect her famous chicken noodle soup recipe. Sheree signed the document containing the recipe and had it notarized. This document is designed to protect Sheree's",copyright.,trade secret.,trademark.,patent.,B,"Trade secret. A trade secret is undisclosed information within a particular business or industry that typically gives the business a competitive advantage. Sheree's famous chicken noodle soup, for instance, is likely a reason for her restaurant's popularity. If Sheree's competitors were to gain access to her recipe and begin serving her chicken noodle soup at their restaurants, Sheree's business would likely giving their creators sole rights to them for a certain period of years. A trademark is a symbol, design, or word used by a producer to identify a good or service and registered with the government to prevent use by others. A patent is legal protection of an invention or process. https://www.entrepreneur.com/encyclopedia/intellectual-property",Business Law,1,hard
"What is typically the most significant role of a compliance officer in a bank, investment company, or insurance company?",To ensure that the company is following financial laws,To enforce the business's code of conduct,To educate employees on industry ethics,To ensure employees follow company policies and procedures,A,"To ensure that the company is following financial laws. Compliance officers in the financial services industry are typically responsible for ensuring that their company is following financial laws and external regulations. A compliance officer may play a role in enforcing a business's code of conduct, educating employees on industry ethics, and/or ensuring that employees follow company policies and procedures, but these responsibilities are secondary. The primary role is ensuring that the business complies with financial laws and regulations. 2020, from https://www.int-comp.org/careers/your-career-in-compliance/what-is-compliance/",Business Law,1,medium
An annual audit is an example of a(n) __________ internal control.,corrective,detective,reconciliation,preventative,B,"Detective. Businesses use a variety of internal accounting controls to ensure the reliability of accounting systems and compliance with financial laws and regulations. Detective controls such as annual audits are meant to help identify existing financial problems. Preventive controls are designed to prevent errors or fraud from happening. Corrective controls are intended to correct errors after they are identified. Reconciliation is a comparison of a business's internal accounting records to external records of some kind. 3, 2020, from https://bizfluent.com/info-8046701-types-internal-controls.html",Business Law,1,medium
Which of the following is a benefit of using artificial intelligence in compliance:,Increases costs,Increases false positives,Reduces human error,Reduces efficiency,C,"Reduces human error. Compliance officers can benefit from artificial intelligence (AI) in a number of ways. AI technology helps increase the efficiency and effectiveness of the compliance function, lowers the chance for human error, and decreases false positives in the system. While adopting artificial intelligence can be costly at first, companies can save money long-term as AI reduces the human capital required to carry out compliances processes and procedures. Retrieved February 3, 2020, from https://a-teaminsight.com/three-ways-artificial-intelligenceimproves-compliance/?brand=rti",Business Law,1,medium
Mooreshead Bank has placed a claim on Marc's property to protect Mooreshead from financial loss if Marc is unable to pay back his bank loan. Mooreshead has secured a __________ against Marc's property.,license,lien,label,ledger,B,Lien. A lien is a legal claim to an item of property that protects the seller if the buyer does not complete his/her payments. Liens are designed to protect creditors from financial loss. A license is a permit that allows a business to operate. A label is printed information affixed to a consumer good. A ledger is the accounting record for a specific department or area of a business. https://www.upcounsel.com/debtor-and-creditor-in-contract-law,Business Law,1,hard
"Charlotte, an investment advisor, does more than simply sell stocks and bonds. She also provides investing advice to her clients on an ongoing basis. She talks with clients about their short-term and longterm investing goals and helps them select the investments that are best for them. Charlotte acts as her clients'",credit analyst.,accountant.,fiduciary.,institutional investor.,C,"Fiduciary. A fiduciary is someone who acts on behalf of another person or organization. In most cases, fiduciaries are responsible for managing their clients' financial assets and making decisions in the best interest of their clients. Because Charlotte does more than simply sell investments to her clients, she is considered a fiduciary. An accountant gathers, records, organizes, and reports financial data. A credit analyst assesses the requests of individuals and businesses applying for loans, makes reports to the loan committee, and helps decide if the requests should be granted. Institutional investors are mutual fund managers, large investment firms, and significant holding companies who invest in the stock market. https://www.investopedia.com/terms/f/fiduciary.asp",Business Law,1,hard
Robert has learned that his company will announce a round of layoffs in two weeks. Robert decides to sell some of the stock options he had in the company before the news of the layoffs goes public. He tells his friends to do the same. This is an example of,extortion.,corporate espionage.,corporate fraud.,insider trading.,D,"Insider trading. Insider trading occurs when a company's owners, directors, or key management trade its stock. Insider trading is illegal when those individuals make trades based on information that has not been disclosed to the public. Corporate fraud involves deception purposely carried out so that a company can secure an unfair or unlawful gain. Corporate espionage involves spying on a competitor and/or theft of a competitor's proprietary information. Extortion involves using force to obtain another person's or company's property or money. https://www.investopedia.com/terms/i/insidertrading.asp",Business Law,1,hard
Raheem recently sold an investment that he had owned for five years. He sold the investment for considerably more money than he had spent on it originally. Raheem is likely to owe __________ tax on the profit that he made from the sale of the investment.,income,long-term capital gains,short-term capital gains,excise,B,"Long-term capital gains. Capital gains are earnings from the appreciation of an investment. When an investor sells his/her investment for more money than what s/he spent on it originally, the investor is likely to owe capital gains tax. Investors pay long-term capital gains tax if they owned the asset for more than a year. If investors owned the asset for a year or less, they are likely to owe short-term capital gains tax. Income tax is a tax levied on an individual's or business's earnings. Excise taxes are indirect taxes charged on specific goods such as gasoline and alcohol. https://www.investopedia.com/terms/c/capital_gains_tax.asp",Business Law,1,hard
What is a benefit of having established policies for taking breaks and requesting time off?,Less confusion among employees,More power for management,More open door policies,Fewer government incentives,A,"Less confusion among employees. Businesses use established policies and procedures to set clear expectations for employee conduct. Employees who have a clear understanding of how and when to take breaks or request time off, for instance, are likely to be more productive. Although some policies and procedures give power to managers, established policies for taking breaks and requesting time off don't necessarily do so. An open door policy is a business practice whereby management encourages communication between employees and their superiors; however, open door policies are typically unrelated to policies for taking breaks and requesting time off. An incentive is something that motivates or encourages someone to behave a certain way. Government incentives are unrelated to policies for taking breaks and requesting time off. from https://smallbusiness.chron.com/personnel-policies-procedures-1234.html",Communication Skills,1,medium
Which of the following is a good way to end a business phone call:,Offer your email address if the caller needs additional information.,List all of the points made in the call.,Make small talk about the caller's day.,Wait for the caller to speak before deciding the call is over.,A,"Offer your email address if the caller needs additional information. By providing your email address, you create another line of communication for the caller in case s/he needs additional information. Providing your email address is also a good way to indicate that you would like to end the call without being abrupt. While summarizing the key points made in the call can be helpful, it is unnecessary to list every point made. You are more likely to make small talk about a caller's day at the beginning of a call versus at the end. Waiting for the caller to speak can cause confusion, especially if you are leading the call. 2020, from https://www.thebalancesmb.com/end-phone-calls-professionally-2533712",Communication Skills,1,easy
