Question,A,B,C,D,Correct,Explanation,HosPricingtality,Assessment,Difficulty
"Which of the following processes do businesses use to prevent defective products from being created, not just to eliminate or correct them after they've been produced:",Quality assurance,Quality improvement,Quality excellence,Quality control,A,"Quality assurance. Quality assurance is a process businesses use to prevent defective products from being created, not just to eliminate or correct them after they've already been produced. Quality control is a process businesses use to check for defects after products have been created. Quality improvement is a business's ongoing commitment and willingness to make changes for the purpose of maintaining quality. Excellence refers to usefulness and good performance in products, but quality excellence is not a term used in quality management.",Quality Management,1,easy
What is the first step in completing a job application?,Identifying questions that do not apply to the applicant,Completing the form's work history section,Listing personal references,Reading the entire form to follow directions,D,"Reading the entire form to follow directions. To make a good impression, it is important to complete the job application accurately and neatly. By reviewing the form, the applicant has the opportunity to read the directions and scan the format. This step may prevent the applicant from placing information on the wrong line or in the wrong section. Application forms vary by company, so the order in which the work history, educational background, or references are completed is not important. Applicants fill out the questions that do apply to them, and write â€œnot applicableâ€ for the questions that do not apply to them, as they get to the questions rather than completing or identifying them initially. 2024, from https://www.thebalancemoney.com/job-application-process-2061600",Professional Development,1,medium
Consumers of hospitality products have the right to expect businesses to provide goods and services that,meet each individual's standards.,furnish several amenities.,maintain international requirements.,are safe and clean.,D,"Are safe and clean. Hospitality products differ a great deal and include such items as a meal in a restaurant and a sleeping room at a lodging facility. The guests have a right to expect that the facility provides clean linens and disinfected bathrooms. Guests expect that the locks on the doors are adequate to keep them safe from intruders and that measures have been taken to keep guests from tripping over loose carpet. Guests have the right to expect that the food that they purchase is safe and free from bacteria. Since each individual has different standards, it is not realistic to expect hospitality businesses to meet everyone's standards. For example, a hotel restaurant cannot create every menu entree to make each guest happy. The restaurant must consider several factors including the target market and costs associated with the food. Amenities are the ""extras"" that a hospitality business providesâ€”the extras that guests do not usually expect. Each country and local government has different regulations that hospitality businesses must follow. responsibilities. Retrieved August 12, 2024, from https://www.cpsc.gov/Businessâ€” Manufacturing/Business-Education/Business-Guidance/Retailers-Product-Safety-and-YourResponsibilities",Business Law,1,medium
What is the best way for an employee to obtain product specifications for a piece of office equipment?,Contact the vendor directly,Develop a cost/benefit analysis,Submit a quotation to management,Write a product review,A,"Contact the vendor directly. If you want product specifications about equipment, you should contact the vendor or manufacturer directly. Submitting a quotation to management, writing a product review, and developing a cost/benefit analysis will not help you get the desired product information. business. Retrieved August 8, 2024, from https://www.ecwid.com/blog/contacting-suppliers-whenyou-are-just-starting-a-business.html HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 2",Communication Skills,1,easy
"To help meet a sudden increase in demand, businesses should make sure to have __________ inventory.",transit,perpetual,just-in-time,buffer,D,"Buffer. Buffer inventory is a surplus in stock that a business maintains in case of an unexpected need, such as from supply chain failure, transportation delays, sudden demand, etc. Transit inventory is the inventory that has been shipped by the seller but not yet received by the buyer. Perpetual inventory is a recording method that continuously updates inventory information. Just-in-time inventory is an inventory method in which goods are ordered so that they arrive when they are needed, rather than being stockpiled. August 12, 2024, from https://www.shipbob.com/blog/buffer-inventory/",Operations,1,medium
Which component of a formal report provides an overview of the important aspects of the report and is written for an audience who may not have time to read the entire report?,Findings and analysis,Executive summary,Table of contents,Report introduction,B,"Executive summary. The executive summary provides an overview of the important aspects or main points of the entire report. It is written for a reader who may not have time to read the entire report in detail. It is common in all report formats, but most common in lengthy or overly technical reports. The table of contents helps provide guidance for the contents of the report and also indicates where parties only interested in certain aspects can find them. The findings and analysis section exists within the main body of the report and provides the details of how report information was determined, along with an analysis of the evidence. The report introduction provides the reader with the purpose of the report and any information that will help them understand or interpret the findings, including a statement of the problem or the boundaries of the report's scope. Inc.",Communication Skills,1,easy
"Before building a media presentation, you should first plan the text and illustrations for the presentation by",creating the needed slides.,creating a storyboard.,developing a schedule.,planning slide transitions.,B,"Creating a storyboard. Creating a storyboard helps you plan the text and illustrations for a presentation and determine the work that will need to be done to create the presentation. Developing a schedule can help with the planning of the work but does not help plan the actual content. Creating the needed slides and planning the slide transitions can only be done after a plan for the content is developed. 2024, from https://www.vyond.com/resources/what-is-a-storyboard-and-why-do-you-need-one/",Information Management,1,medium
"A business borrowed $50,000 at 6% interest to purchase inventory last year and $50,000 at 7.5% interest to purchase inventory this year. How much more interest did the business need to pay to purchase inventory this year than it paid last year?",$750,$600,$500,$550,A,"$750. An increase in interest rates affects businesses by making it more expensive to borrow money for routine operating activities such as purchasing inventory. When the business borrowed $50,000 at 6% interest last year, it paid $3,000 in interest ($50,000 X 6% [or .06] = $3,000). When it borrowed $50,000 at 7.5% interest this year, it paid $3,750 in interest ($50,000 X 7.5% [or .075] = $3,750). So, the business needed to pay $750 more in interest this year than it paid last year to purchase inventory ($3,750 âˆ’ $3,000 = $750). 2024, from https://www.investopedia.com/insights/forces-behind-interest-rates/ HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 3",Economics,1,easy
What type of information concerning policies and procedures do employees often extract from an internal business report?,Customer profiles,Industry research data,New personnel regulations,Former local competitors,C,"New personnel regulations. Most businesses prepare a variety of internal reports that are intended to inform employees about changes in policies and procedures. These internal reports often explain new personnel regulations. If employees analyze the reports, they will be able to understand and comply with the new personnel policies and procedures. Businesses do not share customer profiles with all employees. Internal business reports concerning policies and procedures usually do not explain industry research data or list former local competitors. from https://smallbusiness.chron.com/personnel-policies-procedures-1234.html",Communication Skills,1,medium
Which of the following is an example of using social media to enhance a customer's post-sale experience:,Offering discounts for first-time customers,Posting about the release of a product line,Responding to negative and positive online reviews,Obtaining new followers that could make a purchase,C,"Responding to negative and positive online reviews. Online reviews of products on social media can have a huge impact. A business can increase customer satisfaction post-sale by responding to online reviews. This shows that the business cares about its customers and can lead to repeat business. Posting about the release of a product line, obtaining new followers that could make a purchase, and offering discounts for first-time customers are not related to customers' post-sale experiences. Retrieved August 12, 2024, from https://www.brandwatch.com/blog/ways-to-improve-post-purchasecustomer-experience",Customer Relations,1,easy
