Question,A,B,C,D,Correct,Explanation,Marketing,Assessment,Difficulty
An effective way to create a desire for others to agree with your ideas is by,identifying concerns.,gathering information.,stating your case.,explaining benefits.,D,"Explaining benefits. You create a desire for others to agree with your ideas by explaining how they benefit. Others need to understand what they will get out of it and why it will be good for them. You should explain the advantages so others will want to do what you suggest. Before you can create a desire for others to agree with your ideas, you need to identify their concerns, gather information, and then state your case.",Emotional Intelligence,1,easy
Many supermarkets advertise that they sell only top-grade food products to let customers know that the foods they buy are,costly to buy.,safe to eat.,low in calories.,high in protein.,B,"Safe to eat. Some grades and standards can be used to indicate product safety. Many supermarkets advertise that they sell only top-grade food products, such as Grade A eggs and Prime meat, to let customers know that the supermarket's food is safe to eat. By promoting top-grade food products, the supermarket is appealing to their customer's desire to purchase good-quality, safe food items. Supermarkets do not advertise the grade of food products in order to let customers know that the food is costly to buy, high in protein, or low in calories.",Product Management,1,easy
What are the primary advantages of using descriptive statistics?,You are able to make charts easily and create unbound reports faster.,It allows you to summarize data and make comparisons across units.,The data are not described in numerical form and can be transferred easily.,You can reach conclusions that extend beyond what the data shows.,B,"It allows you to summarize data and make comparisons across units. Descriptive statistics are summaries of data that make large amounts of information more manageable. Reaching conclusions involves making inferences rather than using descriptive statistics. Descriptive statistics can be described in numerical form. The use of descriptive statistics does not necessarily enable you to make charts easily. Retrieved August 8, 2024, from https://www.investopedia.com/terms/d/descriptive_statistics.asp",Information Management,1,medium
Jack broke his left leg in a snowboarding accident and won't be able to work for three months. What type of insurance will help Jack cover his living expenses while he is recovering from his accident?,Disability,Term-life,Liability,Health,A,"Disability. Disability insurance provides a percentage of a worker's normal wages to the worker when they cannot work because of an illness or injury. Often, businesses obtain disability coverage for their employees as a component of their benefits package. Health insurance covers such medical expenses as hospital bills, doctors' fees, lab charges, and other medical costs. Liability insurance protects against lawsuits that result from injuries to others. Term-life insurance provides insurance coverage at a fixed rate for a limited amount of time. The beneficiary receives payment upon the death of the insured during that time. https://www.guardianlife.com/disability-insurance",Financial Analysis,1,medium
"Rate of use, benefits derived, and loyalty response are types of __________ segmentation.",demographic,geographic,psychographic,behavioral,D,"Behavioral. Dividing customers into groups according to their response to a product is behavioral segmentation. Customers are grouped into categories based on what they are looking for in a product and why they buy the product. Types of behavioral segmentation are rate of use, benefits derived, loyalty response, and occasion response. Lifestyles and personalities of customers are used as the basis for psychographic segmentation of markets. Grouping customers according to where they are located is geographic segmentation. Demographic segmentation divides a market on the basis of its physical and social characteristics, including gender, origin or heritage, religion, socioeconomic status, and life stage.",Market Planning,1,medium
Which of the following statements about a company's customer records is true:,Records should include anyone who might become a customer.,Records must be updated and checked often.,Duplicate records are unavoidable and expected.,Records should be easily accessible to everyone in the company.,B,"Records must be updated and checked often. Information in a company's database won't be accurate forever. That's why it's important to update and check the information on a regular basis. Duplicate records should be avoided because they can lead to confusion and problems. Customer records should be kept as clutter-free as possibleâ€”this means restricting them to only people who are currently customers. Potential customers should be kept in another file. Customer records often contain confidential information and should be protected from anyone who isn't authorized to view them. August 8, 2024, from https://keap.com/small-business-automation-blog/business-management/howto-keep-customer-records",Information Management,1,easy
Useful marketing information often helps businesses to,decrease sales.,develop ethics.,solve problems.,prevent competition.,C,"Solve problems. Marketing information is all the marketing-related data available from inside and outside the company. By analyzing certain data, a business often finds ways to solve a problem. For example, if a business's sales volume is decreasing, it realizes that there is a problem. By looking at various data, such as inventory reports, the business might find that certain high-moving products have been on backorder from a vendor for a long time. To resolve the problem, the business decides to find another supplier that has the products available. The backorders decrease and sales increase because the products are available. Marketing information might help a business find ways to be more competitive, but it does not prevent competition, which is illegal in some countries. Ethics are the basic principles that govern your behavior.",Information Management,1,medium
A business requires employees to display â€œwet floorâ€ signs when necessary as part of its __________ policies.,discrimination/harassment,internet,health and safety,dress code,C,"Health and safety. Health and safety policies are designed to protect employees and customers from harm. Common health and safety guidelines include requiring employees to use the handrails on staircases, displaying â€œwet floorâ€ signs when necessary, and requiring employees to scan their ID badge to access company buildings. A dress code outlines what is and isn't appropriate to wear to work. Discrimination and harassment policies usually explain a company's commitment to fair and equal treatment, mutual respect, and diversity in the workplace. Most internet policies explain that employees should use the internet appropriately and responsibly.",Professional Development,1,easy
Which of the following is an example of vertical conflict within a distribution channel:,A producer uses a short distribution channel to move its perishable goods.,A manufacturer wants to distribute its products through all available channels in a certain area.,A large electronics retailer offers a popular item at an extremely low price to attract customers.,A retail chain develops a private brand to compete with the national brands that it sells.,D,"A retail chain develops a private brand to compete with the national brands that it sells. Vertical conflict occurs between channel members at different levels within the same distribution channel. A retailer that develops and markets a private line of products (e.g., CVS over-the-counter medications) is selling products that compete with the national brands it carries (e.g., Tylenol, Zyrtec, and Advil). Most often, the private brand is less expensive than national brands because the retailer does not spend as much money for packaging and advertising as the national brands do. This can cause conflict with the national brand manufacturers because the private brand has the potential to take some of their market share. A retailer that offers a popular item at an extremely low price to attract customers is using a loss-leader technique, which may cause horizontal conflict. A business that distributes its products through all available channels in a certain area is using an intensive distribution strategy, which is a common distribution strategy for many consumer goods (e.g., candy bars and bubble gum). Using a short distribution channel to move perishable goods is unlikely to cause ongoing channel conflict. from https://smallbusiness.chron.com/horizontal-vertical-marketing-conflicts-65325.html",Channel Management,1,easy
"When work tasks are broken down into smaller specialized tasks, productivity outputs are",increased because workers become bored from lack of work variety.,decreased because great amounts of training are required.,increased because workers become highly skilled at individual tasks.,decreased because highly skilled workers demand higher pay.,C,"Increased because workers become highly skilled at individual tasks. Boredom from lack of work variety can affect quality and job satisfaction and sometimes lowers productivity, not increase it. Highly skilled workers may demand higher pay but usually produce at higher levels. Specialization may initially require more training, but the act of specializing labor contributes to higher productivity. from https://www.investopedia.com/terms/s/specialization.asp",Economics,1,medium
