Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
What is one of the main purposes of establishing financial regulations?,To push for change in banking laws.,To maximize profits for the financial system.,To protect institutions from customers.,To maintain the integrity of the financial system.,D,"To maintain the integrity of the financial system. Financial regulations are a form of supervision of financial markets and institutions. One of the main purposes of financial regulations is to maintain the integrity of the financial system. They also aim to enforce applicable laws, protect clients, prosecute cases of market misconduct, maintain confidence in the financial system, etc. Pushing for change in banking laws, maximizing profits for the financial system, and protecting institutions from customers are not purposes of financial regulations. February 6, 2024, from https://www.leasinglife.com/news/industry-news/what-is-financialregulation/?cf-view",,1,medium
Which of the following is an example of broadcast media:,Direct mail,Banner ad,TV,Newspaper,C,"TV. Broadcast media is promotional media including radio and TV that may be transmitted through the air, cable, or internet. Broadcast media are considered â€œtimeâ€ media, as opposed to â€œspaceâ€ media because their advertisements last only as long as they are on the air. Newspapers are a type of publication. Banner ads are a type of digital advertisement. Direct mail can include printed mail or email. Newspapers, banner ads, and direct mail are not examples of broadcast media.",,1,easy
Student loan deferment allows you to stop making payments on your loan for,up to 5 years.,10 months.,up to 3 years.,6 months.,C,"Up to 3 years. A student loan deferment allows you to stop making payments on your student loans for up to 3 years. Student loan deferment does not cancel the loan. Rather, it delays payment on the loan until the deferment period is over. You must apply and qualify for deferment unless you are enrolled in school at least part time. it. Retrieved February 5, 2024, from https://www.investopedia.com/what-is-student-loan-deferment4771251",,1,easy
"Leonard missed a payment on his personal loan two days ago, and he doesn't expect to have the money to pay it off until he receives his next paycheck in a week. What consequence is Leonard most likely to face in this situation?","His lender will ""charge off"" his account.",He will default on his loan.,His account will be considered delinquent.,He'll be charged a late fee by his lender.,D,"He'll be charged a late fee by his lender. Leonard will most likely be charged a late fee by his lender because he missed his payment. However, lenders don't report missed personal loan payments to credit bureaus until one billing cycle, or typically 30 days, has passed. If Leonard doesn't make his payment at least 30 days past due, his account would be considered delinquent. If Leonard goes anywhere from 90 to 120 days without making a payment, he will default on his loan, meaning he failed to repay the loan according to the terms of his loan agreement. If Leonard goes 120 days or more without making a payment, the lender will typically ""charge off"" his account, meaning that the lender gave up trying to collect money from him and likely sold his debt to a thirdparty collection agency. February 5, 2024, from https://www.experian.com/blogs/ask-experian/what-happens-if-you-dont-payback-personal-loan PERSONAL FINANCIAL LITERACYâ€”KEY 2",,1,easy
Which of the following is an example of cash flow from investing activities:,Salary and wages paid,Dividend payments,Income tax payments,Purchase of fixed assets,D,"Purchase of fixed assets. A cash flow statement bridges the gap between the income statement and balance sheet, as it provides an account of how much cash is generated or spent in a specific period on operating, financing, and investing activities. A purchase of fixed assets is an example of cash flow from investing activities. More examples of cash flow from investing activities include a purchase of investments (such as stocks or securities), a sale of fixed assets, and lending money. Dividend payment is an example of cash flow from financing. Salary and wages paid and income tax payments are examples of cash flow from operating activities. Retrieved February 8, 2024, from https://www.investopedia.com/terms/c/cashflowfinvestingactivities.asp",,1,medium
Which of the following is a reason for a soft credit inquiry:,Employment background check,Request for a credit limit increase,Credit card application,Car loan application,A,"Employment background check. A soft credit inquiry typically occurs when a person or company checks your credit during a background check. This can happen if you're hired by a company or if a credit card issuer checks your credit without your permission to see if you qualify for certain offers. A car loan application, a credit card application, and a request for a credit limit increase are reasons for a hard credit inquiry. A hard credit inquiry typically occurs when a financial institution (such as a lender or credit card issuer) checks your credit when making a lending decision. matter. Retrieved February 5, 2024, from https://www.creditkarma.com/advice/i/hard-credit-inquiriesand-soft-credit-inquiries",,1,easy
"Using both a passcode and a fingerprint scan is a form of __________, which helps protect your information from scammers.",phishing,channel management,multi-factor authentication,large-language model PERSONAL FINANCIAL LITERACY 2,C,"Multi-factor authentication. Using a combination of passcode and fingerprint scan is a form of multi-factor authentication, a security measure that helps protect your information from scammers and identity thieves. A large-language model is a massive machine learning algorithm that can understand and generate text or other content. Phishing is an online identity-theft scam that fools victims into believing they are submitting sensitive, personal information (such as credit card numbers or bank passwords) to a legitimate website. Channel management is a marketing function that involves identifying, selecting, monitoring, and evaluating sales channels. February 5, 2024, from https://consumer.ftc.gov/articles/what-know-about-identity-theft",,1,medium
"John is typically good about sticking to his budget, but due to unforeseen events, he is anticipating a hefty car repair bill next month. What should John do to adjust for this unexpected expense in his budget?",Decrease essential expenses,Increase nonessential expenses,Earn more money,Reevaluate his spending habits,D,"Reevaluate his spending habits. Emergencies happen to everyone. Itâ€™s a good idea to have an emergency fund saved up in case you incur unexpected expenses. However, if you donâ€™t have an emergency fund, you can also reevaluate your spending habits during or ahead of a financial emergency to make sure youâ€™re spending your money in the most strategic way possible. In Johnâ€™s case, he should reevaluate his spending habits to make sure he can cover his basic needs and his upcoming bill. Increasing nonessential expenses is the opposite of what John should do. Decreasing essential expenses may not be feasibleâ€”theyâ€™re essential for a reason. Earning more money is not a viable option for John, as this is likely up to his employer, not him. 5, 2024, from https://www.experian.com/blogs/ask-experian/how-to-adjust-your-budget-for-afinancial-emergency/ PERSONAL FINANCIAL LITERACYâ€”KEY 3",,1,hard
"Carla is grocery shopping for the week, picking up ingredients for her carefully planned meals. She intends to make a casserole for dinner, but as she walks past the â€œGrab & Goâ€ section of the store, her stomach rumbles when she smells the ready-made pizza. She impulsively decides to buy a pizza for dinner instead. This is an example of a purchasing decision influenced by",past experience.,physical condition.,social responsibility.,emotional state.,B,"Physical condition. Itâ€™s important to consider your physical condition when you are making decisionsâ€”especially important ones. When people are sick, tired, or hungry, they often make impulsive decisions because they donâ€™t have the energy or willpower to think carefully or logically. In Carlaâ€™s case, she let her hunger influence her purchasing decision, choosing to buy a pizza impulsively instead of following her original dinner plan. Emotional state, past experience, and a feeling of social responsibility can all influence purchase decisions, but they are not demonstrated in this example.",,1,hard
Which of the following statements about I bonds is true:,You can buy an unlimited amount of them.,They earn interest for 5 years.,They protect money from inflation.,You can't cash them out until 30 years.,C,"They protect money from inflation. I bonds are safe investments that protect money from losing value due to inflation. They do this by paying both a fixed rate return and an inflation-adjusted variable rate return. There is a limit to how much you can invest, as you generally can't buy more than $10,000 in I bonds each year. I bonds mature after 30 years, meaning that interest is continually earned for 30 years unless you cash them out. You can cash out an I bond as early as 1 year after your initial purchase. However, cashing in early, especially within 5 years, means you forfeit the last 3 months of interest earned. a 6.89% return. Retrieved February 6, 2024, from https://www.cnbc.com/select/what-are-i-bonds",,1,easy
