Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
"What principle states that laws, rather than individuals or governments, should govern society?",Legal precedence,The rule of justice,The rule of law,Legal jurisdiction,C,"The rule of law. The legal and philosophical principle of the rule of law explains that laws, rather than individuals or governments, should govern society. The law exists to serve, represent the interests of, and protect the rights of all people, rather than just those in power. It is meant to apply equally to everyone and to maintain order in society. The rule of justice, legal precedence, and legal jurisdiction are not related to this concept. Regulations)",Business Law,1,medium
"Before leaving for the night, employees of Double Scoop Ice Cream Shop are required to clean the counters, sweep the floor, and move leftover ice cream to overnight freezers. This closing process is an example of a(n)",procedure.,contract.,policy.,agreement.,A,"Procedure. A procedure is a step-by-step process that personnel must follow in performing a specific task. Procedures and policies are similar but not the same. Procedures outline step-by-step processes, while policies are more general. A policy is any guideline that explains how employees are to act. The closing process of Double Scoop Ice Cream Shop is an example of a procedure, not a policy, contract, or agreement. 2021, from https://www.differencebetween.info/difference-between-policy-and-procedure",Communication Skills,1,easy
"Jacob was nervous about making his valedictorian speech, but when he stood up to walk to the podium, the audience cheered and gave him a standing ovation, which helped him relax and enjoy the moment. What was the audience doing?",Encouraging the speaker,Mocking the speaker,Exhibiting unprofessional behavior,Engaging in passive listening,A,"Encouraging the speaker. In many cultures, a standing ovation is the ultimate show of support for a speaker. It indicates the audience's respect for the speaker and its desire to hear what the speaker has to say. Because cheering provides positive feedback, the audience was not mocking or insulting the speaker. Some cultures might view the audience's behavior as unruly or disrespectful; however, this situation involves a school event, rather than a business event, so the audience isn't exhibiting unprofessional behavior. Because Jacob has not started speaking, the audience is not actively or passively listening to what he is saying. October 6, 2021, from https://www.helpguide.org/articles/relationshipscommunication/effective-communication.htm",Communication Skills,1,easy
What is an advantage of verbal communication?,People must see you to understand the intent of your message.,You use passive listening skills to understand the message.,Messages are written down and therefore documented.,Tone of voice can be used to express emotions and thoughts.,D,"Tone of voice can be used to express emotions and thoughts. This means that people communicating verbally can show their interest and enthusiasm by what they say and how they say it. Messages delivered via verbal communication are not written down. Although body language conveys intent, people can communicate how they feel through their choice of words, so people do not need to see you to understand your message. A key element of verbal communication is active, not passive, listening. communication. Retrieved October 6, 2021, from https://thebusinesscommunication.com/advantages-and-disadvantages-of-oralcommunication/",Communication Skills,1,easy
"Governments pay for public services such as police protection, road repairs, and public education by",regulating the business cycle.,mandating donations.,establishing embargoes.,collecting taxes.,D,"Collecting taxes. All levels of government collect taxes from individuals and businesses. The taxes are used to pay for different types of public services such as police protection, road repairs, and public education. Donations are given rather than mandated. Embargoes are actions that suspend trade with another country and are used for political reasons or during hostilities. Government policies are one of many factors that influence the ebb and flow of the business cycle; however, there are aspects of the business cycle that cannot be regulated. from https://pocketsense.com/purpose-imposing-taxes-5782868.html",Financial Analysis,1,medium
"At the annual staff meeting, the company's sales manager announces that the bonus system is being suspended due to poor performance and profits. What communication style is the manager using?",Casual,Formal,Grapevine,Indirect,B,"Formal. Formal communication generally takes place through established communication channels within a company's structure, like a staff meeting. It often involves serious topics such as pay changes with employees. Casual or informal communication often involves routine business discussions or personal or social topics and takes place outside of typical work activities. Grapevine communication is unofficial information passed from one person to another in writing or through conversation. Indirect communication involves passing information through intermediaries. For example, this type of communication occurs when a businessperson receives an email message from one person and forwards the same message to another person. 2021, from https://yourbusiness.azcentral.com/formal-informal-business-communication1055.html",Communication Skills,1,medium
"You have a customer on the phone who always ends up talking about their personal life for far too long. Today, they're telling you a long story about their recent vacation. However, you have several other calls on the line and tons of work to do. How should you handle this situation?","Tell the customer you're happy to hear about their vacation, but you have to take another call.","Tell the customer you don't have time to talk about personal issues, so they should stay on topic.",Transfer the call to someone else who has more time to talk to the customer.,Talk to the customer as long as they want in order to appear more interested.,A,"Tell the customer you're happy to hear about their vacation, but you have to take another call. It's important to be as professional and polite as possible, even if a talkative caller is taking up too much of your work time. By saying something courteous yet assertive, like, ""I'm happy to hear about your vacation, but I have to take another call now,"" you're letting the caller know that you appreciate their personal stories but that you also have work to do. This customer brings money to your business, so you don't want to be rude or risk offending them. You shouldn't tell the customer that you don't have time for them, even if they're just telling personal stories. You also shouldn't transfer the call to another person as that would be considered rude both to the customer and your coworker. Although it's important to sound interested when you're talking to a customer, you shouldn't talk to them for too long, especially not if you have important work to do. It's necessary to strike a good balance between making a customer connection and asserting yourself. 2021, from https://www.thebalance.com/end-phone-calls-professionally-2533712",Communication Skills,1,easy
A good example of a casually operated group is a,football team selecting a strategy or play.,football team running laps around the field.,few friends starting a football camp.,few friends talking about football.,D,"Few friends talking about football. If the group's purpose is to give and find out opinions, the way the group operates is casual. No real ""rules"" exist beyond the normal standards of common courtesy. When football players run laps during practice, they are likely operating under the direction of their coach. In a similar way, selecting a strategy or play or starting a football camp may require a more formal group discussion.",Communication Skills,1,easy
"When Vendela takes notes in her business class, she draws a line down her paper about 2 Â½ inches from the left side. On the right side of the line, she records her notes from the class lecture. After class, Vendela reviews her notes and writes down key words and phrases in the left column. Vendela uses the __________ note-taking system.",mapping,Cornell,charting,key-word review,B,"Cornell. The Cornell note-taking system uses two columns; on the right-hand side, students take notes during class (or while reading class materials). Afterwards, students review their notes and write significant words or phrases in the left-hand column. These key words help students study. Mapping and charting are methods of note-taking, but they are not illustrated in Vendela's example. Key-word review note-taking is not a term used to describe a method of note-taking. October 6, 2021, from https://medium.goodnotes.com/the-best-note-taking-methods-forcollege-students-451f412e264e",Communication Skills,1,easy
Which of the following are elements that appear in the heading of a memo:,"To, job title, from, and date","To, from, date, and subject","Date, job title, to, and company","Company, to, subject, and date",B,"To, from, date, and subject. When writing a memo, businesspeople place a heading at the top of the page to indicate who the letter is to, who the letter is from, what the message is about, and the date the message was written. The company's name and the employee's job title do not always appear in the heading. https://owl.purdue.edu/owl/subject_specific_writing/professional_technical_writing/memos/pa rts_of_a_memo.html",Communication Skills,1,easy
